"","run_accession","library_name","Collection_Date","lib"
"2367","ERR12865865","SARS-CoV-2 ARTIC V4.1",2022-06-01,"-"
"2371","ERR12865907","SARS-CoV-2 ARTIC V4.1",2022-06-10,"-"
"2372","ERR12865912","SARS-CoV-2 ARTIC V4.1",2022-05-17,"-"
"2380","ERR12867181","SARS-CoV-2 ARTIC V4.1",2022-05-28,"-"
"2460","ERR13108605","SARS-CoV-2 ARTIC V4",2022-02-21,"v4"
"2465","ERR13108620","SARS-CoV-2 ARTIC V4",2022-02-15,"v4"
"2472","ERR13108675","SARS-CoV-2 ARTIC V4",2022-02-09,"v4"
"2543","ERR13102050","SARS-CoV-2 ARTIC V4.1",2022-05-12,"-"
"2577","ERR13102097","SARS-CoV-2 ARTIC V4",2022-05-09,"v4"
"2587","ERR13102125","SARS-CoV-2 ARTIC V4",2022-05-05,"v4"
"2599","ERR13102139","SARS-CoV-2 ARTIC V4",2022-04-30,"v4"
"2645","ERR13103796","SARS-CoV-2 ARTIC V4.1",2022-05-14,"-"
"2659","ERR13103917","SARS-CoV-2 ARTIC V4",2022-02-16,"v4"
"2668","ERR13103939","SARS-CoV-2 ARTIC V4",2022-03-12,"v4"
"2708","ERR13103986","SARS-CoV-2 ARTIC V4",2022-02-26,"v4"
"2726","ERR13104039","SARS-CoV-2 ARTIC V4",2022-03-06,"v4"
"2761","ERR13104084","SARS-CoV-2 ARTIC V4",2022-03-09,"v4"
"2766","ERR13104094","SARS-CoV-2 ARTIC V4",2022-03-03,"v4"
"2779","ERR13104110","SARS-CoV-2 ARTIC V4",2022-03-18,"v4"
"2794","ERR13104126","SARS-CoV-2 ARTIC V4",2022-03-16,"v4"
"2797","ERR13104132","SARS-CoV-2 ARTIC V4",2022-03-17,"v4"
"2807","ERR13104142","SARS-CoV-2 ARTIC V4",2022-03-25,"v4"
"2831","ERR13104305","SARS-CoV-2 ARTIC V4",2022-03-20,"v4"
"2844","ERR13104323","SARS-CoV-2 ARTIC V4",2022-03-22,"v4"
"2865","ERR13104532","SARS-CoV-2 ARTIC V4",2022-03-24,"v4"
"2881","ERR13104973","SARS-CoV-2 ARTIC V4",2022-04-06,"v4"
"2894","ERR13104988","SARS-CoV-2 ARTIC V4",2022-04-04,"v4"
"2905","ERR13105006","SARS-CoV-2 ARTIC V4",2022-03-30,"v4"
