"","Run","library_name","Collection_Date","lib"
"110","ERR9861479","",2021-10-08,"-"
"111","ERR9861480","",2021-10-09,"-"
"112","ERR9861481","",2021-10-10,"-"
"113","ERR9861482","",2021-10-11,"-"
"114","ERR9861483","",2021-10-12,"-"
"101","ERR9861442","",2021-10-13,"-"
"102","ERR9861443","",2021-10-14,"-"
"103","ERR9861444","",2021-10-15,"-"
"104","ERR9861445","",2021-10-16,"-"
"105","ERR9861446","",2021-10-17,"-"
"106","ERR9861447","",2021-10-18,"-"
"107","ERR9861448","",2021-10-19,"-"
"94","ERR9861407","",2021-10-20,"-"
"95","ERR9861408","",2021-10-21,"-"
"96","ERR9861409","",2021-10-22,"-"
"97","ERR9861410","",2021-10-23,"-"
"98","ERR9861411","",2021-10-24,"-"
"99","ERR9861412","",2021-10-25,"-"
"100","ERR9861413","",2021-10-26,"-"
"87","ERR9861372","",2021-10-27,"-"
"88","ERR9861373","",2021-10-28,"-"
"89","ERR9861374","",2021-10-29,"-"
"90","ERR9861375","",2021-10-30,"-"
"91","ERR9861376","",2021-10-31,"-"
"92","ERR9861377","",2021-11-01,"-"
"93","ERR9861378","",2021-11-02,"-"
"80","ERR9861337","",2021-11-03,"-"
"81","ERR9861338","",2021-11-04,"-"
"82","ERR9861339","",2021-11-05,"-"
"83","ERR9861340","",2021-11-06,"-"
"84","ERR9861341","",2021-11-07,"-"
"85","ERR9861342","",2021-11-08,"-"
"86","ERR9861343","",2021-11-09,"-"
"71","ERR9861292","",2021-11-10,"-"
"78","ERR9861312","",2021-11-10,"-"
"72","ERR9861293","",2021-11-11,"-"
"73","ERR9861294","",2021-11-12,"-"
"74","ERR9861295","",2021-11-13,"-"
"75","ERR9861296","",2021-11-14,"-"
"79","ERR9861313","",2021-11-14,"-"
"76","ERR9861297","",2021-11-15,"-"
"77","ERR9861298","",2021-11-16,"-"
"64","ERR9861257","",2021-11-17,"-"
"65","ERR9861258","",2021-11-18,"-"
"66","ERR9861259","",2021-11-19,"-"
"67","ERR9861260","",2021-11-20,"-"
"68","ERR9861261","",2021-11-21,"-"
"69","ERR9861262","",2021-11-22,"-"
"70","ERR9861263","",2021-11-23,"-"
"57","ERR9861221","",2021-11-24,"-"
"58","ERR9861222","",2021-11-25,"-"
"59","ERR9861223","",2021-11-26,"-"
"60","ERR9861224","",2021-11-27,"-"
"61","ERR9861225","",2021-11-28,"-"
"62","ERR9861226","",2021-11-29,"-"
"63","ERR9861227","",2021-11-30,"-"
"1","ERR12397855","SARS-CoV-2 ARTIC V3",2021-12-01,"v3"
"2","ERR12397856","SARS-CoV-2 ARTIC V3",2021-12-02,"v3"
"3","ERR12397857","SARS-CoV-2 ARTIC V3",2021-12-03,"v3"
"4","ERR12397858","SARS-CoV-2 ARTIC V3",2021-12-04,"v3"
"5","ERR12397859","SARS-CoV-2 ARTIC V3",2021-12-05,"v3"
"6","ERR12397860","SARS-CoV-2 ARTIC V3",2021-12-06,"v3"
"7","ERR12397861","SARS-CoV-2 ARTIC V3",2021-12-07,"v3"
"8","ERR12397862","SARS-CoV-2 ARTIC V3",2021-12-08,"v3"
"9","ERR12397863","SARS-CoV-2 ARTIC V3",2021-12-09,"v3"
"10","ERR12397864","SARS-CoV-2 ARTIC V3",2021-12-10,"v3"
"11","ERR12397865","SARS-CoV-2 ARTIC V3",2021-12-11,"v3"
"12","ERR12397866","SARS-CoV-2 ARTIC V3",2021-12-12,"v3"
"13","ERR12397867","SARS-CoV-2 ARTIC V3",2021-12-13,"v3"
